|  SP | White    | Black    | Chess960FEN                                                   |
| 157 | NRNBQKBR | nrnbqkbr | [FEN "nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb - 0 1"] |
| 158 | NRNQKBBR | nrnqkbbr | [FEN "nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb - 0 1"] |
| 159 | NRNQKRBB | nrnqkrbb | [FEN "nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb - 0 1"] |
| 160 | BBNRNKQR | bbnrnkqr | [FEN "bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd - 0 1"] |
| 161 | BNRBNKQR | bnrbnkqr | [FEN "bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc - 0 1"] |
| 162 | BNRNKBQR | bnrnkbqr | [FEN "bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc - 0 1"] |
| 163 | BNRNKQRB | bnrnkqrb | [FEN "bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc - 0 1"] |
| 164 | NBBRNKQR | nbbrnkqr | [FEN "nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd - 0 1"] |
| 165 | NRBBNKQR | nrbbnkqr | [FEN "nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb - 0 1"] |
| 166 | NRBNKBQR | nrbnkbqr | [FEN "nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb - 0 1"] |
| 167 | NRBNKQRB | nrbnkqrb | [FEN "nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb - 0 1"] |
| 168 | NBRNBKQR | nbrnbkqr | [FEN "nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc - 0 1"] |
