|  SP | White    | Black    | Chess960FEN                                                   |
| 683 | QRKNBNRB | qrknbnrb | [FEN "qrknbnrb/pppppppp/8/8/8/8/PPPPPPPP/QRKNBNRB w GBgb - 0 1"] |
| 684 | QBRKNNBR | qbrknnbr | [FEN "qbrknnbr/pppppppp/8/8/8/8/PPPPPPPP/QBRKNNBR w HChc - 0 1"] |
| 685 | QRKBNNBR | qrkbnnbr | [FEN "qrkbnnbr/pppppppp/8/8/8/8/PPPPPPPP/QRKBNNBR w HBhb - 0 1"] |
| 686 | QRKNNBBR | qrknnbbr | [FEN "qrknnbbr/pppppppp/8/8/8/8/PPPPPPPP/QRKNNBBR w HBhb - 0 1"] |
| 687 | QRKNNRBB | qrknnrbb | [FEN "qrknnrbb/pppppppp/8/8/8/8/PPPPPPPP/QRKNNRBB w FBfb - 0 1"] |
| 688 | BBRQKNNR | bbrqknnr | [FEN "bbrqknnr/pppppppp/8/8/8/8/PPPPPPPP/BBRQKNNR w HChc - 0 1"] |
| 689 | BRQBKNNR | brqbknnr | [FEN "brqbknnr/pppppppp/8/8/8/8/PPPPPPPP/BRQBKNNR w HBhb - 0 1"] |
| 690 | BRQKNBNR | brqknbnr | [FEN "brqknbnr/pppppppp/8/8/8/8/PPPPPPPP/BRQKNBNR w HBhb - 0 1"] |
| 691 | BRQKNNRB | brqknnrb | [FEN "brqknnrb/pppppppp/8/8/8/8/PPPPPPPP/BRQKNNRB w GBgb - 0 1"] |
| 692 | RBBQKNNR | rbbqknnr | [FEN "rbbqknnr/pppppppp/8/8/8/8/PPPPPPPP/RBBQKNNR w HAha - 0 1"] |
| 693 | RQBBKNNR | rqbbknnr | [FEN "rqbbknnr/pppppppp/8/8/8/8/PPPPPPPP/RQBBKNNR w HAha - 0 1"] |
| 694 | RQBKNBNR | rqbknbnr | [FEN "rqbknbnr/pppppppp/8/8/8/8/PPPPPPPP/RQBKNBNR w HAha - 0 1"] |
| 695 | RQBKNNRB | rqbknnrb | [FEN "rqbknnrb/pppppppp/8/8/8/8/PPPPPPPP/RQBKNNRB w GAga - 0 1"] |
| 696 | RBQKBNNR | rbqkbnnr | [FEN "rbqkbnnr/pppppppp/8/8/8/8/PPPPPPPP/RBQKBNNR w HAha - 0 1"] |
| 697 | RQKBBNNR | rqkbbnnr | [FEN "rqkbbnnr/pppppppp/8/8/8/8/PPPPPPPP/RQKBBNNR w HAha - 0 1"] |
| 698 | RQKNBBNR | rqknbbnr | [FEN "rqknbbnr/pppppppp/8/8/8/8/PPPPPPPP/RQKNBBNR w HAha - 0 1"] |
| 699 | RQKNBNRB | rqknbnrb | [FEN "rqknbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQKNBNRB w GAga - 0 1"] |
| 700 | RBQKNNBR | rbqknnbr | [FEN "rbqknnbr/pppppppp/8/8/8/8/PPPPPPPP/RBQKNNBR w HAha - 0 1"] |
| 701 | RQKBNNBR | rqkbnnbr | [FEN "rqkbnnbr/pppppppp/8/8/8/8/PPPPPPPP/RQKBNNBR w HAha - 0 1"] |
| 702 | RQKNNBBR | rqknnbbr | [FEN "rqknnbbr/pppppppp/8/8/8/8/PPPPPPPP/RQKNNBBR w HAha - 0 1"] |
| 703 | RQKNNRBB | rqknnrbb | [FEN "rqknnrbb/pppppppp/8/8/8/8/PPPPPPPP/RQKNNRBB w FAfa - 0 1"] |
| 704 | BBRKQNNR | bbrkqnnr | [FEN "bbrkqnnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNNR w HChc - 0 1"] |
| 705 | BRKBQNNR | brkbqnnr | [FEN "brkbqnnr/pppppppp/8/8/8/8/PPPPPPPP/BRKBQNNR w HBhb - 0 1"] |
| 706 | BRKQNBNR | brkqnbnr | [FEN "brkqnbnr/pppppppp/8/8/8/8/PPPPPPPP/BRKQNBNR w HBhb - 0 1"] |
| 707 | BRKQNNRB | brkqnnrb | [FEN "brkqnnrb/pppppppp/8/8/8/8/PPPPPPPP/BRKQNNRB w GBgb - 0 1"] |
| 708 | RBBKQNNR | rbbkqnnr | [FEN "rbbkqnnr/pppppppp/8/8/8/8/PPPPPPPP/RBBKQNNR w HAha - 0 1"] |
| 709 | RKBBQNNR | rkbbqnnr | [FEN "rkbbqnnr/pppppppp/8/8/8/8/PPPPPPPP/RKBBQNNR w HAha - 0 1"] |
| 710 | RKBQNBNR | rkbqnbnr | [FEN "rkbqnbnr/pppppppp/8/8/8/8/PPPPPPPP/RKBQNBNR w HAha - 0 1"] |
| 711 | RKBQNNRB | rkbqnnrb | [FEN "rkbqnnrb/pppppppp/8/8/8/8/PPPPPPPP/RKBQNNRB w GAga - 0 1"] |
| 712 | RBKQBNNR | rbkqbnnr | [FEN "rbkqbnnr/pppppppp/8/8/8/8/PPPPPPPP/RBKQBNNR w HAha - 0 1"] |
| 713 | RKQBBNNR | rkqbbnnr | [FEN "rkqbbnnr/pppppppp/8/8/8/8/PPPPPPPP/RKQBBNNR w HAha - 0 1"] |
| 714 | RKQNBBNR | rkqnbbnr | [FEN "rkqnbbnr/pppppppp/8/8/8/8/PPPPPPPP/RKQNBBNR w HAha - 0 1"] |
| 715 | RKQNBNRB | rkqnbnrb | [FEN "rkqnbnrb/pppppppp/8/8/8/8/PPPPPPPP/RKQNBNRB w GAga - 0 1"] |
| 716 | RBKQNNBR | rbkqnnbr | [FEN "rbkqnnbr/pppppppp/8/8/8/8/PPPPPPPP/RBKQNNBR w HAha - 0 1"] |
| 717 | RKQBNNBR | rkqbnnbr | [FEN "rkqbnnbr/pppppppp/8/8/8/8/PPPPPPPP/RKQBNNBR w HAha - 0 1"] |
| 718 | RKQNNBBR | rkqnnbbr | [FEN "rkqnnbbr/pppppppp/8/8/8/8/PPPPPPPP/RKQNNBBR w HAha - 0 1"] |
| 719 | RKQNNRBB | rkqnnrbb | [FEN "rkqnnrbb/pppppppp/8/8/8/8/PPPPPPPP/RKQNNRBB w FAfa - 0 1"] |
| 720 | BBRKNQNR | bbrknqnr | [FEN "bbrknqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKNQNR w HChc - 0 1"] |
| 721 | BRKBNQNR | brkbnqnr | [FEN "brkbnqnr/pppppppp/8/8/8/8/PPPPPPPP/BRKBNQNR w HBhb - 0 1"] |
| 722 | BRKNQBNR | brknqbnr | [FEN "brknqbnr/pppppppp/8/8/8/8/PPPPPPPP/BRKNQBNR w HBhb - 0 1"] |
| 723 | BRKNQNRB | brknqnrb | [FEN "brknqnrb/pppppppp/8/8/8/8/PPPPPPPP/BRKNQNRB w GBgb - 0 1"] |
| 724 | RBBKNQNR | rbbknqnr | [FEN "rbbknqnr/pppppppp/8/8/8/8/PPPPPPPP/RBBKNQNR w HAha - 0 1"] |
| 725 | RKBBNQNR | rkbbnqnr | [FEN "rkbbnqnr/pppppppp/8/8/8/8/PPPPPPPP/RKBBNQNR w HAha - 0 1"] |
| 726 | RKBNQBNR | rkbnqbnr | [FEN "rkbnqbnr/pppppppp/8/8/8/8/PPPPPPPP/RKBNQBNR w HAha - 0 1"] |
| 727 | RKBNQNRB | rkbnqnrb | [FEN "rkbnqnrb/pppppppp/8/8/8/8/PPPPPPPP/RKBNQNRB w GAga - 0 1"] |
| 728 | RBKNBQNR | rbknbqnr | [FEN "rbknbqnr/pppppppp/8/8/8/8/PPPPPPPP/RBKNBQNR w HAha - 0 1"] |
| 729 | RKNBBQNR | rknbbqnr | [FEN "rknbbqnr/pppppppp/8/8/8/8/PPPPPPPP/RKNBBQNR w HAha - 0 1"] |
| 730 | RKNQBBNR | rknqbbnr | [FEN "rknqbbnr/pppppppp/8/8/8/8/PPPPPPPP/RKNQBBNR w HAha - 0 1"] |
| 731 | RKNQBNRB | rknqbnrb | [FEN "rknqbnrb/pppppppp/8/8/8/8/PPPPPPPP/RKNQBNRB w GAga - 0 1"] |
| 732 | RBKNQNBR | rbknqnbr | [FEN "rbknqnbr/pppppppp/8/8/8/8/PPPPPPPP/RBKNQNBR w HAha - 0 1"] |
| 733 | RKNBQNBR | rknbqnbr | [FEN "rknbqnbr/pppppppp/8/8/8/8/PPPPPPPP/RKNBQNBR w HAha - 0 1"] |
| 734 | RKNQNBBR | rknqnbbr | [FEN "rknqnbbr/pppppppp/8/8/8/8/PPPPPPPP/RKNQNBBR w HAha - 0 1"] |
| 735 | RKNQNRBB | rknqnrbb | [FEN "rknqnrbb/pppppppp/8/8/8/8/PPPPPPPP/RKNQNRBB w FAfa - 0 1"] |
| 736 | BBRKNNQR | bbrknnqr | [FEN "bbrknnqr/pppppppp/8/8/8/8/PPPPPPPP/BBRKNNQR w HChc - 0 1"] |
| 737 | BRKBNNQR | brkbnnqr | [FEN "brkbnnqr/pppppppp/8/8/8/8/PPPPPPPP/BRKBNNQR w HBhb - 0 1"] |
| 738 | BRKNNBQR | brknnbqr | [FEN "brknnbqr/pppppppp/8/8/8/8/PPPPPPPP/BRKNNBQR w HBhb - 0 1"] |
| 739 | BRKNNQRB | brknnqrb | [FEN "brknnqrb/pppppppp/8/8/8/8/PPPPPPPP/BRKNNQRB w GBgb - 0 1"] |
| 740 | RBBKNNQR | rbbknnqr | [FEN "rbbknnqr/pppppppp/8/8/8/8/PPPPPPPP/RBBKNNQR w HAha - 0 1"] |
| 741 | RKBBNNQR | rkbbnnqr | [FEN "rkbbnnqr/pppppppp/8/8/8/8/PPPPPPPP/RKBBNNQR w HAha - 0 1"] |
| 742 | RKBNNBQR | rkbnnbqr | [FEN "rkbnnbqr/pppppppp/8/8/8/8/PPPPPPPP/RKBNNBQR w HAha - 0 1"] |
| 743 | RKBNNQRB | rkbnnqrb | [FEN "rkbnnqrb/pppppppp/8/8/8/8/PPPPPPPP/RKBNNQRB w GAga - 0 1"] |
| 744 | RBKNBNQR | rbknbnqr | [FEN "rbknbnqr/pppppppp/8/8/8/8/PPPPPPPP/RBKNBNQR w HAha - 0 1"] |
| 745 | RKNBBNQR | rknbbnqr | [FEN "rknbbnqr/pppppppp/8/8/8/8/PPPPPPPP/RKNBBNQR w HAha - 0 1"] |
| 746 | RKNNBBQR | rknnbbqr | [FEN "rknnbbqr/pppppppp/8/8/8/8/PPPPPPPP/RKNNBBQR w HAha - 0 1"] |
| 747 | RKNNBQRB | rknnbqrb | [FEN "rknnbqrb/pppppppp/8/8/8/8/PPPPPPPP/RKNNBQRB w GAga - 0 1"] |
| 748 | RBKNNQBR | rbknnqbr | [FEN "rbknnqbr/pppppppp/8/8/8/8/PPPPPPPP/RBKNNQBR w HAha - 0 1"] |
| 749 | RKNBNQBR | rknbnqbr | [FEN "rknbnqbr/pppppppp/8/8/8/8/PPPPPPPP/RKNBNQBR w HAha - 0 1"] |
| 750 | RKNNQBBR | rknnqbbr | [FEN "rknnqbbr/pppppppp/8/8/8/8/PPPPPPPP/RKNNQBBR w HAha - 0 1"] |
| 751 | RKNNQRBB | rknnqrbb | [FEN "rknnqrbb/pppppppp/8/8/8/8/PPPPPPPP/RKNNQRBB w FAfa - 0 1"] |
| 752 | BBRKNNRQ | bbrknnrq | [FEN "bbrknnrq/pppppppp/8/8/8/8/PPPPPPPP/BBRKNNRQ w GCgc - 0 1"] |
| 753 | BRKBNNRQ | brkbnnrq | [FEN "brkbnnrq/pppppppp/8/8/8/8/PPPPPPPP/BRKBNNRQ w GBgb - 0 1"] |
| 754 | BRKNNBRQ | brknnbrq | [FEN "brknnbrq/pppppppp/8/8/8/8/PPPPPPPP/BRKNNBRQ w GBgb - 0 1"] |
| 755 | BRKNNRQB | brknnrqb | [FEN "brknnrqb/pppppppp/8/8/8/8/PPPPPPPP/BRKNNRQB w FBfb - 0 1"] |
| 756 | RBBKNNRQ | rbbknnrq | [FEN "rbbknnrq/pppppppp/8/8/8/8/PPPPPPPP/RBBKNNRQ w GAga - 0 1"] |
| 757 | RKBBNNRQ | rkbbnnrq | [FEN "rkbbnnrq/pppppppp/8/8/8/8/PPPPPPPP/RKBBNNRQ w GAga - 0 1"] |
| 758 | RKBNNBRQ | rkbnnbrq | [FEN "rkbnnbrq/pppppppp/8/8/8/8/PPPPPPPP/RKBNNBRQ w GAga - 0 1"] |
| 759 | RKBNNRQB | rkbnnrqb | [FEN "rkbnnrqb/pppppppp/8/8/8/8/PPPPPPPP/RKBNNRQB w FAfa - 0 1"] |
| 760 | RBKNBNRQ | rbknbnrq | [FEN "rbknbnrq/pppppppp/8/8/8/8/PPPPPPPP/RBKNBNRQ w GAga - 0 1"] |
| 761 | RKNBBNRQ | rknbbnrq | [FEN "rknbbnrq/pppppppp/8/8/8/8/PPPPPPPP/RKNBBNRQ w GAga - 0 1"] |
| 762 | RKNNBBRQ | rknnbbrq | [FEN "rknnbbrq/pppppppp/8/8/8/8/PPPPPPPP/RKNNBBRQ w GAga - 0 1"] |
| 763 | RKNNBRQB | rknnbrqb | [FEN "rknnbrqb/pppppppp/8/8/8/8/PPPPPPPP/RKNNBRQB w FAfa - 0 1"] |
| 764 | RBKNNRBQ | rbknnrbq | [FEN "rbknnrbq/pppppppp/8/8/8/8/PPPPPPPP/RBKNNRBQ w FAfa - 0 1"] |
| 765 | RKNBNRBQ | rknbnrbq | [FEN "rknbnrbq/pppppppp/8/8/8/8/PPPPPPPP/RKNBNRBQ w FAfa - 0 1"] |
| 766 | RKNNRBBQ | rknnrbbq | [FEN "rknnrbbq/pppppppp/8/8/8/8/PPPPPPPP/RKNNRBBQ w EAea - 0 1"] |
| 767 | RKNNRQBB | rknnrqbb | [FEN "rknnrqbb/pppppppp/8/8/8/8/PPPPPPPP/RKNNRQBB w EAea - 0 1"] |
| 768 | BBQRKNRN | bbqrknrn | [FEN "bbqrknrn/pppppppp/8/8/8/8/PPPPPPPP/BBQRKNRN w GDgd - 0 1"] |
| 769 | BQRBKNRN | bqrbknrn | [FEN "bqrbknrn/pppppppp/8/8/8/8/PPPPPPPP/BQRBKNRN w GCgc - 0 1"] |
| 770 | BQRKNBRN | bqrknbrn | [FEN "bqrknbrn/pppppppp/8/8/8/8/PPPPPPPP/BQRKNBRN w GCgc - 0 1"] |
| 771 | BQRKNRNB | bqrknrnb | [FEN "bqrknrnb/pppppppp/8/8/8/8/PPPPPPPP/BQRKNRNB w FCfc - 0 1"] |
| 772 | QBBRKNRN | qbbrknrn | [FEN "qbbrknrn/pppppppp/8/8/8/8/PPPPPPPP/QBBRKNRN w GDgd - 0 1"] |
| 773 | QRBBKNRN | qrbbknrn | [FEN "qrbbknrn/pppppppp/8/8/8/8/PPPPPPPP/QRBBKNRN w GBgb - 0 1"] |
| 774 | QRBKNBRN | qrbknbrn | [FEN "qrbknbrn/pppppppp/8/8/8/8/PPPPPPPP/QRBKNBRN w GBgb - 0 1"] |
| 775 | QRBKNRNB | qrbknrnb | [FEN "qrbknrnb/pppppppp/8/8/8/8/PPPPPPPP/QRBKNRNB w FBfb - 0 1"] |
| 776 | QBRKBNRN | qbrkbnrn | [FEN "qbrkbnrn/pppppppp/8/8/8/8/PPPPPPPP/QBRKBNRN w GCgc - 0 1"] |
| 777 | QRKBBNRN | qrkbbnrn | [FEN "qrkbbnrn/pppppppp/8/8/8/8/PPPPPPPP/QRKBBNRN w GBgb - 0 1"] |
| 778 | QRKNBBRN | qrknbbrn | [FEN "qrknbbrn/pppppppp/8/8/8/8/PPPPPPPP/QRKNBBRN w GBgb - 0 1"] |
| 779 | QRKNBRNB | qrknbrnb | [FEN "qrknbrnb/pppppppp/8/8/8/8/PPPPPPPP/QRKNBRNB w FBfb - 0 1"] |
| 780 | QBRKNRBN | qbrknrbn | [FEN "qbrknrbn/pppppppp/8/8/8/8/PPPPPPPP/QBRKNRBN w FCfc - 0 1"] |
| 781 | QRKBNRBN | qrkbnrbn | [FEN "qrkbnrbn/pppppppp/8/8/8/8/PPPPPPPP/QRKBNRBN w FBfb - 0 1"] |
| 782 | QRKNRBBN | qrknrbbn | [FEN "qrknrbbn/pppppppp/8/8/8/8/PPPPPPPP/QRKNRBBN w EBeb - 0 1"] |
| 783 | QRKNRNBB | qrknrnbb | [FEN "qrknrnbb/pppppppp/8/8/8/8/PPPPPPPP/QRKNRNBB w EBeb - 0 1"] |
| 784 | BBRQKNRN | bbrqknrn | [FEN "bbrqknrn/pppppppp/8/8/8/8/PPPPPPPP/BBRQKNRN w GCgc - 0 1"] |
| 785 | BRQBKNRN | brqbknrn | [FEN "brqbknrn/pppppppp/8/8/8/8/PPPPPPPP/BRQBKNRN w GBgb - 0 1"] |
| 786 | BRQKNBRN | brqknbrn | [FEN "brqknbrn/pppppppp/8/8/8/8/PPPPPPPP/BRQKNBRN w GBgb - 0 1"] |
| 787 | BRQKNRNB | brqknrnb | [FEN "brqknrnb/pppppppp/8/8/8/8/PPPPPPPP/BRQKNRNB w FBfb - 0 1"] |
| 788 | RBBQKNRN | rbbqknrn | [FEN "rbbqknrn/pppppppp/8/8/8/8/PPPPPPPP/RBBQKNRN w GAga - 0 1"] |
| 789 | RQBBKNRN | rqbbknrn | [FEN "rqbbknrn/pppppppp/8/8/8/8/PPPPPPPP/RQBBKNRN w GAga - 0 1"] |
| 790 | RQBKNBRN | rqbknbrn | [FEN "rqbknbrn/pppppppp/8/8/8/8/PPPPPPPP/RQBKNBRN w GAga - 0 1"] |
| 791 | RQBKNRNB | rqbknrnb | [FEN "rqbknrnb/pppppppp/8/8/8/8/PPPPPPPP/RQBKNRNB w FAfa - 0 1"] |
| 792 | RBQKBNRN | rbqkbnrn | [FEN "rbqkbnrn/pppppppp/8/8/8/8/PPPPPPPP/RBQKBNRN w GAga - 0 1"] |
| 793 | RQKBBNRN | rqkbbnrn | [FEN "rqkbbnrn/pppppppp/8/8/8/8/PPPPPPPP/RQKBBNRN w GAga - 0 1"] |
| 794 | RQKNBBRN | rqknbbrn | [FEN "rqknbbrn/pppppppp/8/8/8/8/PPPPPPPP/RQKNBBRN w GAga - 0 1"] |
| 795 | RQKNBRNB | rqknbrnb | [FEN "rqknbrnb/pppppppp/8/8/8/8/PPPPPPPP/RQKNBRNB w FAfa - 0 1"] |
| 796 | RBQKNRBN | rbqknrbn | [FEN "rbqknrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKNRBN w FAfa - 0 1"] |
| 797 | RQKBNRBN | rqkbnrbn | [FEN "rqkbnrbn/pppppppp/8/8/8/8/PPPPPPPP/RQKBNRBN w FAfa - 0 1"] |
| 798 | RQKNRBBN | rqknrbbn | [FEN "rqknrbbn/pppppppp/8/8/8/8/PPPPPPPP/RQKNRBBN w EAea - 0 1"] |
| 799 | RQKNRNBB | rqknrnbb | [FEN "rqknrnbb/pppppppp/8/8/8/8/PPPPPPPP/RQKNRNBB w EAea - 0 1"] |
| 800 | BBRKQNRN | bbrkqnrn | [FEN "bbrkqnrn/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNRN w GCgc - 0 1"] |
| 801 | BRKBQNRN | brkbqnrn | [FEN "brkbqnrn/pppppppp/8/8/8/8/PPPPPPPP/BRKBQNRN w GBgb - 0 1"] |
| 802 | BRKQNBRN | brkqnbrn | [FEN "brkqnbrn/pppppppp/8/8/8/8/PPPPPPPP/BRKQNBRN w GBgb - 0 1"] |
| 803 | BRKQNRNB | brkqnrnb | [FEN "brkqnrnb/pppppppp/8/8/8/8/PPPPPPPP/BRKQNRNB w FBfb - 0 1"] |
| 804 | RBBKQNRN | rbbkqnrn | [FEN "rbbkqnrn/pppppppp/8/8/8/8/PPPPPPPP/RBBKQNRN w GAga - 0 1"] |
| 805 | RKBBQNRN | rkbbqnrn | [FEN "rkbbqnrn/pppppppp/8/8/8/8/PPPPPPPP/RKBBQNRN w GAga - 0 1"] |
| 806 | RKBQNBRN | rkbqnbrn | [FEN "rkbqnbrn/pppppppp/8/8/8/8/PPPPPPPP/RKBQNBRN w GAga - 0 1"] |
| 807 | RKBQNRNB | rkbqnrnb | [FEN "rkbqnrnb/pppppppp/8/8/8/8/PPPPPPPP/RKBQNRNB w FAfa - 0 1"] |
| 808 | RBKQBNRN | rbkqbnrn | [FEN "rbkqbnrn/pppppppp/8/8/8/8/PPPPPPPP/RBKQBNRN w GAga - 0 1"] |
| 809 | RKQBBNRN | rkqbbnrn | [FEN "rkqbbnrn/pppppppp/8/8/8/8/PPPPPPPP/RKQBBNRN w GAga - 0 1"] |
| 810 | RKQNBBRN | rkqnbbrn | [FEN "rkqnbbrn/pppppppp/8/8/8/8/PPPPPPPP/RKQNBBRN w GAga - 0 1"] |
| 811 | RKQNBRNB | rkqnbrnb | [FEN "rkqnbrnb/pppppppp/8/8/8/8/PPPPPPPP/RKQNBRNB w FAfa - 0 1"] |
| 812 | RBKQNRBN | rbkqnrbn | [FEN "rbkqnrbn/pppppppp/8/8/8/8/PPPPPPPP/RBKQNRBN w FAfa - 0 1"] |
| 813 | RKQBNRBN | rkqbnrbn | [FEN "rkqbnrbn/pppppppp/8/8/8/8/PPPPPPPP/RKQBNRBN w FAfa - 0 1"] |
| 814 | RKQNRBBN | rkqnrbbn | [FEN "rkqnrbbn/pppppppp/8/8/8/8/PPPPPPPP/RKQNRBBN w EAea - 0 1"] |
| 815 | RKQNRNBB | rkqnrnbb | [FEN "rkqnrnbb/pppppppp/8/8/8/8/PPPPPPPP/RKQNRNBB w EAea - 0 1"] |
| 816 | BBRKNQRN | bbrknqrn | [FEN "bbrknqrn/pppppppp/8/8/8/8/PPPPPPPP/BBRKNQRN w GCgc - 0 1"] |
| 817 | BRKBNQRN | brkbnqrn | [FEN "brkbnqrn/pppppppp/8/8/8/8/PPPPPPPP/BRKBNQRN w GBgb - 0 1"] |
| 818 | BRKNQBRN | brknqbrn | [FEN "brknqbrn/pppppppp/8/8/8/8/PPPPPPPP/BRKNQBRN w GBgb - 0 1"] |
| 819 | BRKNQRNB | brknqrnb | [FEN "brknqrnb/pppppppp/8/8/8/8/PPPPPPPP/BRKNQRNB w FBfb - 0 1"] |
| 820 | RBBKNQRN | rbbknqrn | [FEN "rbbknqrn/pppppppp/8/8/8/8/PPPPPPPP/RBBKNQRN w GAga - 0 1"] |
| 821 | RKBBNQRN | rkbbnqrn | [FEN "rkbbnqrn/pppppppp/8/8/8/8/PPPPPPPP/RKBBNQRN w GAga - 0 1"] |
| 822 | RKBNQBRN | rkbnqbrn | [FEN "rkbnqbrn/pppppppp/8/8/8/8/PPPPPPPP/RKBNQBRN w GAga - 0 1"] |
| 823 | RKBNQRNB | rkbnqrnb | [FEN "rkbnqrnb/pppppppp/8/8/8/8/PPPPPPPP/RKBNQRNB w FAfa - 0 1"] |
| 824 | RBKNBQRN | rbknbqrn | [FEN "rbknbqrn/pppppppp/8/8/8/8/PPPPPPPP/RBKNBQRN w GAga - 0 1"] |
| 825 | RKNBBQRN | rknbbqrn | [FEN "rknbbqrn/pppppppp/8/8/8/8/PPPPPPPP/RKNBBQRN w GAga - 0 1"] |
| 826 | RKNQBBRN | rknqbbrn | [FEN "rknqbbrn/pppppppp/8/8/8/8/PPPPPPPP/RKNQBBRN w GAga - 0 1"] |
| 827 | RKNQBRNB | rknqbrnb | [FEN "rknqbrnb/pppppppp/8/8/8/8/PPPPPPPP/RKNQBRNB w FAfa - 0 1"] |
| 828 | RBKNQRBN | rbknqrbn | [FEN "rbknqrbn/pppppppp/8/8/8/8/PPPPPPPP/RBKNQRBN w FAfa - 0 1"] |
| 829 | RKNBQRBN | rknbqrbn | [FEN "rknbqrbn/pppppppp/8/8/8/8/PPPPPPPP/RKNBQRBN w FAfa - 0 1"] |
| 830 | RKNQRBBN | rknqrbbn | [FEN "rknqrbbn/pppppppp/8/8/8/8/PPPPPPPP/RKNQRBBN w EAea - 0 1"] |
| 831 | RKNQRNBB | rknqrnbb | [FEN "rknqrnbb/pppppppp/8/8/8/8/PPPPPPPP/RKNQRNBB w EAea - 0 1"] |
| 832 | BBRKNRQN | bbrknrqn | [FEN "bbrknrqn/pppppppp/8/8/8/8/PPPPPPPP/BBRKNRQN w FCfc - 0 1"] |
| 833 | BRKBNRQN | brkbnrqn | [FEN "brkbnrqn/pppppppp/8/8/8/8/PPPPPPPP/BRKBNRQN w FBfb - 0 1"] |
| 834 | BRKNRBQN | brknrbqn | [FEN "brknrbqn/pppppppp/8/8/8/8/PPPPPPPP/BRKNRBQN w EBeb - 0 1"] |
| 835 | BRKNRQNB | brknrqnb | [FEN "brknrqnb/pppppppp/8/8/8/8/PPPPPPPP/BRKNRQNB w EBeb - 0 1"] |
| 836 | RBBKNRQN | rbbknrqn | [FEN "rbbknrqn/pppppppp/8/8/8/8/PPPPPPPP/RBBKNRQN w FAfa - 0 1"] |
| 837 | RKBBNRQN | rkbbnrqn | [FEN "rkbbnrqn/pppppppp/8/8/8/8/PPPPPPPP/RKBBNRQN w FAfa - 0 1"] |
| 838 | RKBNRBQN | rkbnrbqn | [FEN "rkbnrbqn/pppppppp/8/8/8/8/PPPPPPPP/RKBNRBQN w EAea - 0 1"] |
| 839 | RKBNRQNB | rkbnrqnb | [FEN "rkbnrqnb/pppppppp/8/8/8/8/PPPPPPPP/RKBNRQNB w EAea - 0 1"] |
| 840 | RBKNBRQN | rbknbrqn | [FEN "rbknbrqn/pppppppp/8/8/8/8/PPPPPPPP/RBKNBRQN w FAfa - 0 1"] |
| 841 | RKNBBRQN | rknbbrqn | [FEN "rknbbrqn/pppppppp/8/8/8/8/PPPPPPPP/RKNBBRQN w FAfa - 0 1"] |
| 842 | RKNRBBQN | rknrbbqn | [FEN "rknrbbqn/pppppppp/8/8/8/8/PPPPPPPP/RKNRBBQN w DAda - 0 1"] |
| 843 | RKNRBQNB | rknrbqnb | [FEN "rknrbqnb/pppppppp/8/8/8/8/PPPPPPPP/RKNRBQNB w DAda - 0 1"] |
| 844 | RBKNRQBN | rbknrqbn | [FEN "rbknrqbn/pppppppp/8/8/8/8/PPPPPPPP/RBKNRQBN w EAea - 0 1"] |
| 845 | RKNBRQBN | rknbrqbn | [FEN "rknbrqbn/pppppppp/8/8/8/8/PPPPPPPP/RKNBRQBN w EAea - 0 1"] |
| 846 | RKNRQBBN | rknrqbbn | [FEN "rknrqbbn/pppppppp/8/8/8/8/PPPPPPPP/RKNRQBBN w DAda - 0 1"] |
| 847 | RKNRQNBB | rknrqnbb | [FEN "rknrqnbb/pppppppp/8/8/8/8/PPPPPPPP/RKNRQNBB w DAda - 0 1"] |
| 848 | BBRKNRNQ | bbrknrnq | [FEN "bbrknrnq/pppppppp/8/8/8/8/PPPPPPPP/BBRKNRNQ w FCfc - 0 1"] |
| 849 | BRKBNRNQ | brkbnrnq | [FEN "brkbnrnq/pppppppp/8/8/8/8/PPPPPPPP/BRKBNRNQ w FBfb - 0 1"] |
| 850 | BRKNRBNQ | brknrbnq | [FEN "brknrbnq/pppppppp/8/8/8/8/PPPPPPPP/BRKNRBNQ w EBeb - 0 1"] |
| 851 | BRKNRNQB | brknrnqb | [FEN "brknrnqb/pppppppp/8/8/8/8/PPPPPPPP/BRKNRNQB w EBeb - 0 1"] |
| 852 | RBBKNRNQ | rbbknrnq | [FEN "rbbknrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBKNRNQ w FAfa - 0 1"] |
| 853 | RKBBNRNQ | rkbbnrnq | [FEN "rkbbnrnq/pppppppp/8/8/8/8/PPPPPPPP/RKBBNRNQ w FAfa - 0 1"] |
| 854 | RKBNRBNQ | rkbnrbnq | [FEN "rkbnrbnq/pppppppp/8/8/8/8/PPPPPPPP/RKBNRBNQ w EAea - 0 1"] |
| 855 | RKBNRNQB | rkbnrnqb | [FEN "rkbnrnqb/pppppppp/8/8/8/8/PPPPPPPP/RKBNRNQB w EAea - 0 1"] |
| 856 | RBKNBRNQ | rbknbrnq | [FEN "rbknbrnq/pppppppp/8/8/8/8/PPPPPPPP/RBKNBRNQ w FAfa - 0 1"] |
